time, AccX, AccY, AccZ, EulerX, EulerY, EulerZ
09:39:51:923,0.440,0.230,0.420,-110.610,-72.160,-16.060
09:39:51:957,0.440,0.230,0.420,-110.610,-72.160,-16.060
09:39:51:990,0.380,-0.150,-0.050,-67.440,-86.570,-21.890
09:39:52:023,0.290,-0.020,-0.180,-81.700,-66.780,-17.790
09:39:52:056,0.290,-0.020,-0.180,-81.700,-66.780,-17.790
09:39:52:090,0.270,0.000,-0.110,-102.330,-66.200,-16.760
09:39:52:123,0.270,0.000,-0.110,-102.330,-66.200,-16.760
09:39:52:157,0.270,0.000,-0.110,-102.330,-66.200,-16.760
09:39:52:190,0.240,-0.030,0.060,-95.590,-69.870,-14.350
09:39:52:223,0.230,-0.090,0.010,-87.000,-64.980,-12.940
09:39:52:256,0.210,0.000,-0.060,-89.540,-59.720,-11.170
09:39:52:290,0.210,0.000,-0.060,-89.540,-59.720,-11.170
09:39:52:323,0.220,0.030,-0.070,-94.540,-62.290,-12.160
09:39:52:356,0.220,0.030,-0.070,-94.540,-62.290,-12.160
09:39:52:390,0.190,0.090,-0.070,-94.330,-62.500,-12.500
09:39:52:423,0.200,-0.120,-0.020,-94.790,-61.120,-11.620
09:39:52:456,0.200,-0.120,-0.020,-94.790,-61.120,-11.620
09:39:52:490,0.200,0.040,-0.050,-90.700,-60.450,-10.320
09:39:52:523,0.190,-0.060,0.010,-92.970,-62.210,-12.400
09:39:52:556,0.190,-0.060,0.010,-92.970,-62.210,-12.400
09:39:52:589,0.200,0.010,-0.030,-88.120,-60.810,-10.090
09:39:52:623,0.200,0.010,0.000,-91.950,-58.600,-11.850
09:39:52:656,0.210,0.000,0.010,-88.680,-57.310,-11.510
09:39:52:689,0.210,0.000,0.010,-88.680,-57.310,-11.510
09:39:52:722,0.200,0.030,-0.040,-89.030,-61.130,-12.000
09:39:52:756,0.200,0.030,-0.040,-89.030,-61.130,-12.000
09:39:52:789,0.190,0.010,0.000,-92.560,-58.940,-11.870
09:39:52:822,0.190,-0.010,0.000,-89.180,-58.510,-10.750
09:39:52:856,0.190,-0.010,0.000,-89.180,-58.510,-10.750
09:39:52:889,0.190,0.010,0.000,-90.460,-59.450,-10.710
09:39:52:922,0.210,0.000,0.020,-89.530,-61.210,-10.970
09:39:52:955,0.210,0.000,0.020,-89.530,-61.210,-10.970
09:39:52:989,0.200,0.030,0.020,-88.220,-58.760,-12.010
09:39:53:022,0.200,-0.030,0.010,-89.220,-57.660,-11.780
09:39:53:056,0.190,0.000,0.010,-89.380,-61.430,-10.870
