time, AccX, AccY, AccZ, EulerX, EulerY, EulerZ
09:39:31:907,-0.020,-0.040,-0.160,-100.780,-89.520,3.110
09:39:31:941,-0.020,-0.040,-0.160,-100.780,-89.520,3.110
09:39:31:974,-0.020,-0.040,-0.160,-100.780,-89.520,3.110
09:39:32:007,0.000,0.010,-0.160,-98.940,-89.670,0.870
09:39:32:041,-0.010,0.020,-0.160,-99.030,-89.170,-0.720
09:39:32:074,0.000,0.030,-0.130,-99.540,-88.730,0.660
09:39:32:107,-0.020,0.000,-0.110,-96.760,-89.070,-0.900
09:39:32:140,-0.020,0.000,-0.110,-96.760,-89.070,-0.900
09:39:32:174,-0.060,0.030,-0.060,-95.310,-89.030,1.240
09:39:32:207,-0.060,0.030,-0.060,-95.310,-89.030,1.240
09:39:32:240,-0.060,0.030,-0.060,-95.310,-89.030,1.240
09:39:32:274,0.050,-0.130,-0.180,-91.340,-87.030,-0.480
09:39:32:307,0.210,-0.160,-0.100,-98.120,-84.090,-2.510
09:39:32:340,0.210,-0.160,-0.100,-98.120,-84.090,-2.510
09:39:32:374,0.210,-0.160,-0.100,-98.120,-84.090,-2.510
09:39:32:407,0.040,-0.080,-0.220,-94.490,-85.350,-10.270
09:39:32:440,0.120,-0.020,-0.170,-101.900,-84.060,-1.670
09:39:32:474,0.170,0.030,-0.150,-98.210,-87.060,-7.650
09:39:32:506,0.140,0.000,-0.170,-98.830,-83.860,-10.390
09:39:32:540,0.140,0.000,-0.170,-98.830,-83.860,-10.390
09:39:32:573,0.120,0.040,-0.140,-99.820,-85.280,-7.660
09:39:32:606,0.120,0.040,-0.140,-99.820,-85.280,-7.660
09:39:32:640,0.190,0.040,-0.100,-97.380,-85.810,-7.260
09:39:32:673,0.170,0.000,-0.100,-95.780,-83.890,-11.860
09:39:32:707,0.130,0.000,-0.080,-95.490,-84.430,-9.120
09:39:32:740,0.130,0.000,-0.080,-95.490,-84.430,-9.120
09:39:32:773,0.130,0.000,-0.080,-95.490,-84.430,-9.120
09:39:32:807,0.120,0.010,-0.080,-94.070,-86.140,-7.020
09:39:32:840,0.110,0.000,-0.080,-94.620,-85.000,-6.450
09:39:32:873,0.140,0.000,-0.040,-94.110,-85.300,-6.040
09:39:32:906,0.160,0.030,-0.020,-92.030,-84.400,-8.160
09:39:32:940,0.160,0.030,-0.020,-92.030,-84.400,-8.160
09:39:32:973,0.190,0.000,0.020,-90.640,-83.260,-9.300
09:39:33:007,0.190,0.000,0.020,-90.640,-83.260,-9.300
09:39:33:040,0.190,0.030,0.040,-87.890,-83.530,-10.570
09:39:33:073,0.180,0.010,0.060,-87.190,-84.190,-11.010
09:39:33:106,0.180,0.010,0.060,-87.190,-84.190,-11.010
09:39:33:140,0.170,-0.020,0.100,-86.040,-85.950,-9.750
09:39:33:173,0.170,-0.020,0.100,-86.040,-85.950,-9.750
09:39:33:206,0.160,0.000,0.080,-84.410,-86.420,-9.180
09:39:33:240,-0.130,-0.410,-0.120,-86.040,-86.330,-9.440
09:39:33:273,-0.010,0.070,-0.080,-90.180,-88.840,-5.930
09:39:33:306,0.110,-0.090,-0.040,-95.010,-88.530,0.600
09:39:33:340,0.110,-0.090,-0.040,-95.010,-88.530,0.600
09:39:33:373,0.000,0.020,-0.160,-92.920,-85.590,-6.590
09:39:33:406,0.000,0.020,-0.160,-92.920,-85.590,-6.590
09:39:33:439,-0.030,0.040,-0.150,-101.090,-83.870,1.530
09:39:33:473,-0.040,0.030,-0.140,-98.760,-86.900,1.730
09:39:33:506,-0.060,0.020,-0.200,-98.690,-84.970,2.240
09:39:33:539,-0.060,0.020,-0.200,-98.690,-84.970,2.240
09:39:33:572,-0.060,0.020,-0.200,-98.690,-84.970,2.240
09:39:33:606,-0.040,0.010,-0.170,-102.320,-84.590,3.950
09:39:33:639,-0.020,-0.020,-0.170,-99.300,-84.590,1.580
09:39:33:672,-0.070,-0.020,-0.170,-99.780,-85.120,1.000
09:39:33:706,0.010,-0.040,-0.110,-99.070,-84.280,4.130
09:39:33:739,0.010,-0.040,-0.110,-99.070,-84.280,4.130
09:39:33:772,0.020,0.010,-0.120,-95.810,-84.260,-1.930
09:39:33:806,0.020,0.010,-0.120,-95.810,-84.260,-1.930
09:39:33:839,0.050,0.010,-0.090,-97.610,-83.700,-1.200
09:39:33:872,0.050,0.010,-0.090,-97.610,-83.700,-1.200
09:39:33:905,0.060,-0.010,-0.050,-94.650,-84.830,-3.450
09:39:33:939,0.060,-0.010,-0.050,-94.650,-84.830,-3.450
09:39:33:972,0.060,-0.010,-0.050,-94.650,-84.830,-3.450
09:39:34:005,0.000,-0.020,0.000,-91.830,-84.920,0.480
09:39:34:039,-0.040,0.030,0.000,-89.100,-86.370,-0.060
09:39:34:072,-0.040,0.030,0.020,-89.520,-84.380,2.790
09:39:34:106,-0.070,-0.010,-0.090,-88.450,-83.950,1.380
09:39:34:139,-0.070,-0.010,-0.090,-88.450,-83.950,1.380
09:39:34:172,0.380,-0.310,-0.090,-95.740,-81.900,5.120
09:39:34:205,0.380,-0.310,-0.090,-95.740,-81.900,5.120
09:39:34:239,0.010,-0.040,-0.240,-93.690,-81.870,-4.790
09:39:34:272,0.110,-0.010,-0.180,-104.410,-80.930,-0.240
09:39:34:305,0.160,-0.010,-0.120,-98.050,-84.820,-7.250
09:39:34:338,0.160,-0.010,-0.120,-98.050,-84.820,-7.250
09:39:34:372,0.160,-0.010,-0.120,-98.050,-84.820,-7.250
09:39:34:405,0.140,0.050,-0.140,-96.290,-83.800,-9.410
09:39:34:439,0.180,0.010,-0.100,-98.280,-84.880,-8.360
09:39:34:472,0.230,-0.030,-0.050,-94.210,-85.440,-10.720
